,month,mean_sunshine_hrs,total_rainfall
402,2015-07,7.1,116.8
403,2015-08,6.1,185.8
404,2015-09,4.3,61.6
405,2015-10,4.7,87.2
406,2015-11,4.8,72.6
407,2015-12,5.3,302.3
408,2016-01,7.2,126.6
409,2016-02,6.5,186.0
410,2016-03,8.0,6.2
411,2016-04,7.0,89.8
412,2016-05,6.2,193.8
413,2016-06,5.4,162.8
414,2016-07,6.3,168.6
415,2016-08,6.7,139.2
416,2016-09,5.5,118.9
417,2016-10,4.6,181.0
418,2016-11,3.5,290.2
419,2016-12,5.1,292.6
420,2017-01,4.8,197.6
421,2017-02,7.1,158.4
422,2017-03,6.1,136.2
423,2017-04,5.3,208.6
424,2017-05,5.9,190.0
425,2017-06,6.3,106.0
426,2017-07,7.0,79.6
427,2017-08,6.1,84.2
428,2017-09,5.7,124.4
429,2017-10,5.5,120.8
430,2017-11,4.2,268.6
431,2017-12,5.6,371.2
432,2018-01,4.1,287.0
433,2018-02,8.0,14.8
434,2018-03,6.4,44.6
435,2018-04,6.8,61.2
436,2018-05,5.8,132.2
437,2018-06,4.1,182.6
438,2018-07,6.1,143.2
439,2018-08,6.7,121.6
440,2018-09,6.0,144.4
441,2018-10,6.1,234.4
442,2018-11,3.8,169.6
443,2018-12,5.1,172.6
444,2019-01,7.1,63.6
445,2019-02,9.2,31.6
446,2019-03,8.3,72.2
447,2019-04,5.9,174.8
448,2019-05,7.0,69.0
449,2019-06,5.3,173.8
450,2019-07,7.5,12.2
451,2019-08,7.6,11.8
452,2019-09,6.7,22.8
453,2019-10,6.5,176.8
454,2019-11,5.5,137.4
455,2019-12,4.8,421.5
456,2020-01,7.1,88.4
457,2020-02,8.3,65.0
458,2020-03,7.6,108.8
459,2020-04,7.1,188.0
460,2020-05,5.7,255.6
461,2020-06,4.3,233.8
462,2020-07,5.7,140.8
463,2020-08,6.4,103.4
464,2020-09,4.8,150.2
465,2020-10,4.3,78.8
466,2020-11,4.0,220.6
467,2020-12,5.2,253.2
468,2021-01,4.2,692.8
469,2021-02,8.2,1.0
470,2021-03,7.3,182.4
471,2021-04,6.8,290.4
472,2021-05,6.0,245.8
473,2021-06,6.5,93.4
474,2021-07,6.8,195.8
475,2021-08,4.8,293.6
476,2021-09,6.4,205.4
477,2021-10,6.2,177.0
478,2021-11,4.9,312.4
479,2021-12,5.4,119.6
480,2022-01,8.3,99.8
481,2022-02,5.9,175.0
482,2022-03,6.4,163.2
483,2022-04,5.2,239.6
484,2022-05,6.7,102.0
485,2022-06,4.7,211.8
486,2022-07,6.2,145.2
487,2022-08,5.5,141.4
488,2022-09,3.8,121.0
489,2022-10,3.5,279.0
490,2022-11,3.8,313.8
491,2022-12,3.6,215.4
